repo_name,total_resources,resource_types,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
PlatformLogRetentionRule,0,AWS::Events::Rule|AWS::IAM::Role,0,0,0,false,1,0,false,53,686137062481,none
LambdaAuthorizerWithGroupFiltering,5,AWS::CloudFormation::Interface|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::SSM::Parameter,0,0,0,false,1,0,false,335,none,none
aws-cwd-eimc-api,20,AWS::ApiGateway::ApiKey|AWS::ApiGateway::UsagePlan|AWS::ApiGateway::UsagePlanKey|AWS::ApiGatewayV2::ApiMapping|AWS::ApiGatewayV2::DomainName|AWS::CloudFormation::Interface|AWS::IAM::Role|AWS::Lambda::Function|AWS::Serverless::Api|AWS::Serverless::Function|AWS::SSM::Parameter,0,1,1,true,3,0,false,1043,514712703977|686137062481|979244888321,APP-2763
aws-transit-cloudwatch-metrics,16,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,564,none,none
mulesoft-cloudformation-templates,236,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,43,0,false,16636,720720378559|735941387769,none
gis-geomartcloud-createjob-pycommonlambda,3,AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,0,0,0,false,1,0,false,309,none, !Ref|APP-3020
aws-waf-rules-automation-crmis,7,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::FMS::Policy|AWS::IAM::Role|AWS::SSM::Parameter|AWS::WAFv2::IPSet|AWS::WAFv2::RuleGroup,0,0,0,false,2,0,false,609,686137062481,none
ccsp-cdp-kinesis-consumer,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,265,720720378559,none
aws-cwd-aop-templates,128,AWS::ApiGateway::Account|AWS::ApiGateway::ApiKey|AWS::ApiGateway::Stage|AWS::ApiGateway::UsagePlan|AWS::ApiGateway::UsagePlanKey|AWS::Batch::ComputeEnvironment|AWS::Batch::JobDefinition|AWS::Batch::JobQueue|AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::ECR::Repository|AWS::Events::Rule|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::LayerVersion|AWS::Lambda::LayerVersionPermission|AWS::Lambda::Permission|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::Serverless::Api|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,35,12,false,9065,979244888321, !Ref|APP-2671|APP-2761|APP-2763
pge-ecm-datasync-infra,21,AWS::DataSync::LocationEFS|AWS::DataSync::Task|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,4,0,false,860,none,none
pge-ecm-crm-acm,10,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,0,0,1,false,2,0,false,546,514712703977,none
